"species","habitat","structure_prob_cutoff","STRUCTURE","BAPS","DAPC","Av_groups","Fst_vcftools","Dxy_Mike_and_Oscar","Fst_Mike_and_Oscar","SNPs","loci","SNPs_per_locus","av_contig_length","total_bp","SNPs_per_bp","Av_UCE_gene_tree_length","D","theta","seg_sites","pairwise_diffs","nuc_div","seg_sites_per_bp","subtending_branch","stem_length","log.theta","species_sample","log.total_bp","mtDNA.branch.length","Beak.Length_Culmen_1","Beak.Length_Nares","Beak.Width_1","Beak.Depth_1","Tarsus.Length_1","Wing.Length_1","Kipps.Distance_1","Secondary1_1","Hand.wing.Index","Tail.Length_1","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Mass","Range.Size","haplotype.F_ST","nucleotide.F_ST","Nei.G_ST","Hudson.G_ST","Hudson.H_ST","Hudson.K_ST","Dxy","e_statistic","e_slope","a_statistic","a_slope","Nei.G_ST.pop","nucleotide.F_ST.pop","Dxy.pop","Sister_clade_richness","heterozygosity","inbreeding"
"Dendroplex_kienerii","island",1,1,1,1,1,0.082962,0.0011966,0.001200135,2905,2055,1.413625,726.2418491,1492427,0.001946494,0.003560658,-0.898983196,2084.81797,6630,1671.967033,0.00128451,0.004442428,0.008540308,0.00497965,3.319068142,"Dendroplex_kienerii_26_LSU80430",6.173893097,0.002311,29.9333333333333,21.0142857142857,4.9125,6.375,20.625,99.425,17.9,81.0142857142857,18.0714285714286,86.6666666666667,1,1,1,3,4,3,45,237821.16,0.0810177018962849,0.0859597921235654,0.294543963745989,0.0791692171311649,0.734158415841584,0.453440499666558,0.000700761719784768,-0.0796196,0.0553402,0.0111024,0.0635786,0.0828876962256081,0.0422461963507024,0.000725052434957853,1,0.265335149,0.104157143
"Elaenia_pelzelni","island",1,1,2,1,1.33,NA,0.001422209,0.001426716,1914,2103,0.910128,721.4736091,1517259,0.001261485,0.001381685,-0.390453259,1345.636364,2467,1295.666667,0.00149741,0.001625958,0.003063465,0.00168178,3.128927715,"Elaenia_pelzelni_36_Goeldi22693",6.181059722,NA,13.875,8.425,5.15,4.4,21.925,88.275,13.55,74.775,15.3,74.55,1,1,1,2,4,3,27.3,311569.85,-0.0216490573855397,-0.0170356138010509,0.241765071472965,0.0251857113261713,0.69608452454941,0.526643265848731,0.0013511444736478,NA,NA,NA,NA,0.241765071472963,-0.0170356138010508,0.0013511444736478,2,0.545859539,-0.005795
"Formicarius_analis","floodplain",2,2,1,2,1.67,0.2652,0.00934451,0.00965288,11601,2088,5.556034,587.98659,1227716,0.009449254,0.004800255,-1.908780392,3984.51872,14525,2140.220779,0.00184413,0.013250621,0.013530718,0.008529081,3.639125946,"Formicarius_analis_INPA1349",6.089097916,0.088378,21.7615384615385,13.3689655172414,5.63,6.01333333333333,32.44,89.2566666666667,14.7733333333333,74.6294117647059,16.64,56.78,1,1,1,3,4,2,62.2,5715479.2,0.177350334834947,0.195038664083168,0.413385168464226,0.169661869734524,0.94990366088632,0.590884048641593,0.00124116485259996,-0.26416,0.115207,0.0352782,0.129375,0.139214660057554,0.150399045682343,0.00137613388338963,1,0.100772418,0.292622727
"Formicarius_colma","upland",2,2,2,2,2,0.51849,0.0163468,0.01743418,7051,2058,3.426142,586.1710398,1206340,0.005844953,0.004618859,-1.482545741,2754.461444,10041,1764.142857,0.001622455,0.008657592,0.016863502,0.011506552,3.446658646,"Formicarius_colma_MPEG14939",6.081469728,0.053042,21.5428571428571,12.11,5.11666666666667,5.27692307692308,29.8538461538462,85.0384615384615,16.2714285714286,69.3,18.9857142857143,53.3692307692308,1,1,1,3,4,2,47,6982041.19,0.245657032971783,0.266496107022092,0.436551038881398,0.237987801064334,0.884220810942843,0.58792634535356,0.000882346255197965,-0.903961,0.372801,-0.864582,0.639632,0.219551325081327,0.24387433050182,0.00119164984264635,3,0.099098847,0.427319091
"Furnarius_minor","island",1,1,2,1,1.33,0.12384,0.000721322,0.00072513,1792,2209,0.811227,708.7211408,1565565,0.001144635,0.001526601,-0.988387977,1312.492636,3713,1054.222222,0.00072441,0.002371668,0.004652652,0.003126051,3.118096875,"Furnarius_minor_44_Goeldi16304",6.194671104,0.006435,19.28,12.9125,3.34444444444444,3.84444444444444,24.7666666666667,73.7222222222222,9.925,64.0375,13.4375,50.2,3,1,1,3,4,2,25.8,319149.09,0.0411718191236993,0.0399025555119451,0.234300652235253,0.0439957858404019,0.613970588235294,0.385537219752251,0.000576664809083662,-0.0554002,0.0372266,-0.0701528,0.0493607,0.12007702479209,0.0264568573192772,0.000594107719601436,1,0.278439539,0.01269
"Glaucidium_brasilianum","floodplain",3,2,1,3,2,0.13117,0.02191046,0.0235453,2167,2127,1.018806,546.9026798,1163262,0.001862865,0.002201597,-1.775019567,1675.592616,5560,999.0333333,0.000980878,0.005855087,NA,NA,3.283259138,"Glaucidium_brasilianum_LSUMNS75626",6.065677541,0.017741,14.92,10.025,7.08888888888889,10.5733333333333,18.04,94.12,16.8,77.3153846153846,17.8846153846154,63.4466666666667,3,2,1,3,4,3,63.3,14375175.98,0.0386274070839137,0.0371140481148146,0.232792931717691,0.0378398739723285,0.627674750356633,0.367588306389044,0.0004719962812022,-0.051284,0.0312351,-0.164844,0.103126,0.160388723430511,0.0350575849240185,0.000740035424777645,1,0.169891413,0.13427875
"Glaucidium_hardyi","upland",1,1,1,1,1,0.11724,0.018894587,0.020483907,3711,2146,1.729264,582.9627213,1251038,0.002966337,0.00243268,-0.566334991,1102.673921,3912,953.8315789,0.00096064,0.003127003,NA,NA,3.042447103,"Glaucidium_hardyi_LSUMNS40662",6.097270501,0.050608,14.65,8.925,6.43333333333333,8.925,18.925,89.5,17.95,71.6,20.075,48,1,1,1,3,4,3,58.3,4691899.43,0.0519596567329354,0.0528251078650311,0.239702342401202,0.0507384824886244,0.625763986835919,0.365252738169249,0.000320120818446415,-0.0406811,0.0278223,0.0748596,0.0269469,0.0530755806066854,0.0305271010698327,0.000324801668927795,2,0.145251602,0.111524
"Hylophylax_naevia","upland",4,4,2,3,3,0.54736,0.01394673,0.014600593,11906,2107,5.650688,580,1222060,0.009742566,0.01057422,-0.701811321,4970.413996,17096,4156.601307,0.00366142,0.013989493,0.010011768,-0.000562452,3.696392564,"Hylophylax_naevia_MPEG10842",6.087092529,0.149532,16.0071428571429,9.204,4.74615384615385,3.76153846153846,20.2192307692308,58.1,8.14666666666667,50.0736842105263,14.1266666666667,39.7769230769231,1,1,1,3,4,3,14.2,5848723.89,0.426545084274416,0.533313309683726,0.563374627897501,0.408822333247626,0.958630527817404,0.742547312872898,0.0024862259532749,-2.61404,1.06971,-1.09406,1.14102,0.293771653036535,0.407669156475069,0.00280805924687542,1,0.092470382,0.624096667
"Hylophylax_punctulata","floodplain",2,1,1,2,1.67,0.12051,0.013525489,0.014209569,7643,2107,3.6498,589.6687233,1242432,0.006304,0.00457305,-1.46354717,3227.745449,11102,2125.581699,0.00184047,0.0089357,0.011986995,0.007413945,3.508899277,"Hylophylax_punctulata_FMNH457204",6.094272629,0.041158,16.68,9.95,4.76666666666667,4.13333333333333,17.2444444444444,59.0888888888889,8.075,51.725,13.425,31.4222222222222,1,1,1,3,4,3,12.4,3128205.43,0.134198643301467,0.144900017076244,0.37594246266889,0.127772037619511,0.903763696998571,0.555604835724082,0.00119459039020012,-0.237435,0.109329,-0.0603923,0.108484,0.09776586472597,0.0796835356210879,0.00125074816904939,2,0.162324953,0.152702222
"Knipolegus_orenocensis","island",3,3,3,3,3,0.43452,0.001621509,0.001627089,5874,2149,2.733364,704.8548162,1514733,0.003877911,0.006468523,-0.957737773,3146.781649,11751,2404.753623,0.00170764,0.007757803,0.005845748,-0.000622775,3.497866609,"Knipolegus_orenocensis_46_COP882",6.180336087,0.003016,16.8,9.925,5.35,4.05,20.075,71.75,12.525,59.225,17.45,67.25,3,2,1,3,4,3,19,255299.56,0.222124198777175,0.247334926802588,0.420087610022828,0.214705527987305,0.885406922357343,0.575882644982496,0.000989343159409501,-0.30894,0.136866,-0.251876,0.287408,0.272859221165306,0.304187606199944,0.00127563197506044,1,0.158502807,0.292607273
