"trait","estimate","p","t","aicc","slope","int","sterr.int","sterr.slope","deltaAIC","rel.LL","weights"
"Beak.Length_Nares",0.047,0.8588,0.179,172.416,0.047,1.385,1.366,0.262,3.34799999999998,0.187495581346756,0.089486766908412
"Hand.wing.Index",0.596,0.0722,1.833,169.068,0.596,1.031,1.34,0.325,0,1,0.477274004355945
"Trophic.Niche",-0.104,0.6262,-0.49,172.201,-0.104,1.343,1.366,0.212,3.13299999999998,0.208774616259972,0.0996426971102725
"Mass",-0.418,0.1675,-1.399,170.456,-0.418,2.362,1.511,0.299,1.38799999999998,0.499573772053551,0.238433574659202
"Range.Size",-0.044,0.6992,-0.388,172.293,-0.044,1.415,1.366,0.113,3.22499999999999,0.199388519168536,0.095162956966169
