"trait","estimate","p","t","aicc","slope","int","sterr.int","sterr.slope","deltaAIC","rel.LL","weights"
"subtending_branch",-0.074,0.6897,-0.403,87.027,-0.074,0.862,0.702,0.183,1.99,0.36972344454406,0.269925616018882
"stem_length",-0.228,0.159,-1.447,85.037,-0.228,0.865,0.679,0.157,0,1,0.730074383981118
