INDV,O(HOM),E(HOM),N_SITES,F
Formicarius_colma_MPEG12382,5869,5474,6616,0.3459
Formicarius_colma_MPEG12536,6038,5369.5,6494,0.59448
Formicarius_colma_MPEG14939,6026,5267.4,6359,0.69494
Formicarius_colma_MPEG328,5375,4969,5981,0.4012
Formicarius_colma_MPEG6705,5745,5331.6,6438,0.37363
Formicarius_colma_MPEG9519,5516,4936.6,5959,0.56672
Glaucidium_brasilianum_AMNH2937,1648,1620.6,2013,0.06982
Glaucidium_brasilianum_FMNH392464,1709,1676.9,2088,0.07804
Glaucidium_brasilianum_FMNH456484,1795,1685.6,2100,0.26401
Glaucidium_brasilianum_LSUMNS15361,1632,1654.1,2057,-0.05477
Glaucidium_brasilianum_LSUMNS48547a,1545,1603.3,1996,-0.14855
Glaucidium_brasilianum_LSUMNS48547b,1496,1619.9,2019,-0.31053
Glaucidium_brasilianum_LSUMNS75626,1724,1677.1,2089,0.11383
Glaucidium_brasilianum_LSUMNS980,1738,1655.9,2062,0.20213
Glaucidium_brasilianum_MPEG13997,1740,1658,2061,0.20343
Glaucidium_brasilianum_MPEG14295,1730,1664.4,2071,0.16126
Glaucidium_brasilianum_MPEG16187,1703,1656.7,2061,0.11452
Glaucidium_hardyi_FMNH389707,3044,3031,3635,0.02146
Glaucidium_hardyi_KU476,3088,3035.8,3641,0.08621
Glaucidium_hardyi_LSUMNS20184,2864,2769,3305,0.17717
Glaucidium_hardyi_LSUMNS31382,3115,3018.5,3618,0.16096
Glaucidium_hardyi_LSUMNS40662,1621,1600.5,1879,0.07348
Glaucidium_hardyi_MPEG11657,3001,2926,3501,0.1305
Glaucidium_hardyi_MPEG14844,3008,2947,3529,0.10475
Glaucidium_hardyi_MPEG1762,3109,3001.5,3596,0.18088
Glaucidium_hardyi_MPEG694,3080,3035.2,3640,0.07401
Glaucidium_hardyi_USNMB12705,3095,3031.1,3635,0.10582
Hylophylax_naevia_AMNH12315,9929,8337.2,11065,0.58354
Hylophylax_naevia_FMNH457166,9809,8049.2,10655,0.67534
Hylophylax_naevia_INPA1301,9778,8266.7,10962,0.56072
Hylophylax_naevia_LSUMNS106776,10030,8336.3,11057,0.62253
Hylophylax_naevia_LSUMNS5972,9809,8239.3,10925,0.58446
Hylophylax_naevia_MPEG10842,9950,8138.9,10789,0.68341
Hylophylax_naevia_MPEG12164,10103,8287.3,11001,0.66909
Hylophylax_naevia_MPEG828,10158,8351.8,11082,0.66156
Hylophylax_naevia_USNMB22064,9793,8241.6,10934,0.57622
Hylophylax_punctulata_FMNH457204,6031,5941.1,7344,0.06409
Hylophylax_punctulata_INPA5623,6232,5944.9,7353,0.20391
Hylophylax_punctulata_LSUMNS12357,5711,5464.5,6741,0.19311
Hylophylax_punctulata_LSUMNS42951,6068,5953.7,7364,0.08105
Hylophylax_punctulata_LSUMNS4399,6008,6006.2,7436,0.00123
Hylophylax_punctulata_LSUMNS81100,6191,6072,7517,0.08234
Hylophylax_punctulata_MPEG12824,6539,6080.7,7529,0.31644
Hylophylax_punctulata_MPEG3422,6192,6061.3,7499,0.09091
Hylophylax_punctulata_USNMB06906,6577,6082.8,7531,0.34124
Megascops_choliba_AMNH4811,2447,2332.6,2729,0.28865
Megascops_choliba_FMNH392673,2810,2790.4,3296,0.03885
Megascops_choliba_LSUMNS15318,2768,2770.2,3269,-0.00444
Megascops_choliba_LSUMNS38217,2684,2729.4,3220,-0.09257
Megascops_choliba_LSUMNS42284,2776,2764.3,3264,0.02336
Megascops_choliba_LSUMNS7420,3000,2779.5,3282,0.43876
Megascops_choliba_LSUMNS9593,2807,2803.1,3310,0.00776
Megascops_choliba_MPEG13970,2785,2733.6,3225,0.10456
Megascops_choliba_MPEG16509,2733,2768.5,3269,-0.071
Megascops_choliba_MPEG16711,2781,2775.6,3278,0.01078
Megascops_choliba_MPEG17491,2767,2774.8,3277,-0.0156
Megascops_choliba_MPEG6986,2779,2769.6,3268,0.01885
Megascops_choliba_UWBM116721,2915,2699.2,3182,0.44701
Megascops_watsonii_AMNH3868,5365,5264.5,6192,0.10833
Megascops_watsonii_LSUMNS20185,5244,5193.3,6106,0.0555
Megascops_watsonii_LSUMNS42986,5284,5257.4,6181,0.02879
