INDV,O(HOM),E(HOM),N_SITES,F
Trogon_collaris_LSUMNS10657,9272,8887.9,10562,0.22946
Trogon_collaris_LSUMNS18342,9274,8788.3,10439,0.29422
Trogon_collaris_LSUMNS22827,9129,8690,10320,0.26934
Trogon_collaris_LSUMNS27866,9230,8836.9,10498,0.23666
Trogon_collaris_LSUMNS72110,9287,8844.7,10508,0.26593
Trogon_collaris_MPEG17320,9069,8471.9,10052,0.37788
Trogon_collaris_MPEG3657,9262,8770.6,10417,0.29848
Trogon_collaris_MPEG8909,9185,8564.2,10167,0.38731
Trogon_collaris_USNMB22128,9442,8858.6,10523,0.35053
Trogon_rufus_FMNH389730,11322,10945.6,12547,0.23505
Trogon_rufus_FMNH456559,11645,11120,12757,0.32071
Trogon_rufus_INPA1170,11452,11112.2,12747,0.20788
Trogon_rufus_INPA1668,11299,10907.4,12505,0.24513
Trogon_rufus_INPA5284,11114,10671.1,12217,0.2865
Trogon_rufus_KU239,11785,10908.4,12502,0.55007
Trogon_rufus_LSUMNS26564,10965,10515.2,12042,0.29459
Trogon_rufus_LSUMNS27570,11518,11074.9,12702,0.27232
Trogon_rufus_LSUMNS4256,11302,10927.9,12524,0.23441
Trogon_rufus_MPEG16761,11409,10967.6,12571,0.27528
Trogon_rufus_MPEG16986,11332,10940.4,12542,0.24448
Trogon_rufus_MPEG1878,10419,9847.6,11250,0.40746
Trogon_rufus_MPEG6808,11474,10839.4,12419,0.40176
Xiphorhynchus_elegans_INPA8144,6425,5905.3,7406,0.3463
Xiphorhynchus_elegans_LSUMNS18545,6598,5861.1,7347,0.49594
Xiphorhynchus_elegans_LSUMNS35681,6388,5907.9,7408,0.32003
Xiphorhynchus_elegans_LSUMNS36629,6532,5904.9,7405,0.41804
Xiphorhynchus_elegans_LSUMNS42949,6044,5624.3,7043,0.29583
Xiphorhynchus_elegans_MPEG7671,5686,5233,6523,0.35116
Xiphorhynchus_spixii_FMNH456868,6614,5899,7397,0.47729
Xiphorhynchus_spixii_MPEG10312,6580,5898.5,7394,0.45571
Xiphorhynchus_spixii_MPEG12556,6374,5763.1,7217,0.42019
Xiphorhynchus_spixii_MPEG3585,6216,5441.4,6802,0.56931
Xiphorhynchus_obsoletus_AMNH12343,4224,4163.5,5052,0.06813
Xiphorhynchus_obsoletus_FMNH391089,4184,4121.8,4994,0.07128
Xiphorhynchus_obsoletus_FMNH456853,4256,4246.2,5155,0.01075
Xiphorhynchus_obsoletus_LSUMNS12752,4343,4312.8,5240,0.03259
Xiphorhynchus_obsoletus_LSUMNS35642,4352,4312.6,5240,0.04244
Xiphorhynchus_obsoletus_LSUMNS35670,4333,4208,5108,0.13891
Xiphorhynchus_obsoletus_LSUMNS35734,4268,4291.8,5212,-0.02584
Xiphorhynchus_obsoletus_LSUMNS42526,4245,4248.1,5157,-0.00343
Xiphorhynchus_obsoletus_MPEG11024,4275,4164.2,5053,0.12467
Xiphorhynchus_obsoletus_MPEG17364,4274,4202.2,5101,0.07992
Xiphorhynchus_obsoletus_MPEG2456,4345,4308.9,5236,0.03895
conirostrum_bicolor_10_LSU43023,3137,2948.5,4130,0.15951
conirostrum_bicolor_11_LSU93328,3003,2932.9,4109,0.05962
conirostrum_bicolor_12_INPA1341,2447,2538.2,3522,-0.09274
conirostrum_bicolor_66_UFPE_T1161,3152,3018,4234,0.11018
conirostrum_bicolor_7_Goeldi22702,2516,2571.1,3571,-0.05505
conirostrum_bicolor_9_LSU7282,2990,2970.1,4161,0.01668
conirostrum_bicolor_MPEG_T611,3298,3018,4234,0.23025
conirostrum_bicolor_10_LSU43023,6635,6203.7,7628,0.30282
conirostrum_bicolor_11_LSU93328,6450,6146,7556,0.21558
conirostrum_bicolor_12_INPA1341,5380,5277.9,6455,0.08673
conirostrum_bicolor_66_UFPE_T1161,6743,6359.5,7825,0.2617
conirostrum_bicolor_6_Goeldi1324,5168,5136.1,6284,0.02776
conirostrum_bicolor_7_Goeldi22702,5499,5352.6,6554,0.12183
conirostrum_bicolor_9_LSU7282,6498,6235.9,7669,0.18287
conirostrum_bicolor_KU5684,6528,6359.5,7825,0.11499
conirostrum_bicolor_KU5690,6542,6357.9,7823,0.12565
conirostrum_bicolor_MAM011,6655,6359.5,7825,0.20165
conirostrum_bicolor_MAM026,6708,6359.5,7825,0.23781
conirostrum_bicolor_MAM16,6640,6358.8,7824,0.19191
conirostrum_bicolor_MAM23,6572,6354.4,7818,0.14866
conirostrum_bicolor_MAM24,6660,6359.5,7825,0.20506
conirostrum_bicolor_MPEG_T611,6889,6359.5,7825,0.36132
conirostrum_margaritae_13_LSU25428,862,832.1,1399,0.05277
conirostrum_margaritae_14_LSU7293,786,824.8,1386,-0.06917
conirostrum_margaritae_15_LSU93298,882,821.1,1379,0.10918
conirostrum_margaritae_16_Goeldi15984,762,734.4,1223,0.05658
cranioleuca_vulpecula_19_LSU25424,1143,1139.4,1610,0.00763
cranioleuca_vulpecula_20_LSU3637,1027,1076.3,1520,-0.111
cranioleuca_vulpecula_21_LSU74799,1161,1141,1612,0.04243
cranioleuca_vulpecula_22_LSU79790,1232,1125.7,1590,0.22903
cranioleuca_vulpecula_23_LSU3181,1123,1115,1574,0.01749
cranioleuca_vulpecula_24_LSU93331,1189,1137.4,1607,0.10984
cranioleuca_vulpecula_25_INPA_A123,1117,1037.5,1461,0.18775
dendroplex_kienerii_26_LSU80430,2043,1999,2849,0.05174
dendroplex_kienerii_27_LSU29023,1992,1881.9,2677,0.13849
dendroplex_kienerii_28_LSU35627,2058,1996.3,2845,0.07269
dendroplex_kienerii_29_LSU35692,2092,1998.8,2848,0.1098
dendroplex_kienerii_30_LSU20237,2018,1992.3,2840,0.03027
dendroplex_kienerii_31_LSU25413,1354,1306.7,1827,0.09084
dendroplex_kienerii_32_LSU93459,2199,1999,2849,0.23527
elaenia_pelzelni_35_LSU7249,874,872.5,1908,0.00145
elaenia_pelzelni_36_Goeldi22693,859,872.5,1908,-0.01304
furnarius_minor_160_INPA1339,1201,1227.9,1710,-0.0557
furnarius_minor_38_LSU3641,1330,1270.2,1771,0.11948
furnarius_minor_39_LSU45888,1227,1270.9,1772,-0.08751
furnarius_minor_40_LSU74803,1343,1266.2,1765,0.15396
furnarius_minor_42_LSU7265,1304,1211.3,1686,0.19534
furnarius_minor_43_LSU42939,1195,1211.7,1686,-0.03515
furnarius_minor_44_Goeldi16304,1146,1244.1,1731,-0.20159
knipolegus_orenocensis_46_COP882,5118,4452.9,5752,0.51199
knipolegus_orenocensis_47_COP629,4880,4265.4,5508,0.49462
knipolegus_orenocensis_48_MPEG_T15658,4518,4280.2,5517,0.1923
knipolegus_orenocensis_49_USNM303,4482,4177.6,5380,0.25319
knipolegus_orenocensis_50_LSU43080,4531,4229.9,5450,0.24679
knipolegus_orenocensis_51_MPEG_T16338,4648,4298.3,5539,0.28183
knipolegus_orenocensis_52_INPA_A11140,4167,3908.9,5015,0.23332
knipolegus_orenocensis_53_INPA_A18068,4581,4278.2,5515,0.2448
knipolegus_orenocensis_54_LSU75980,4761,4415.1,5700,0.26923
knipolegus_orenocensis_55_LSU3178,4666,4357,5624,0.24386
knipolegus_orenocensis_56_LSU3647,4681,4397.2,5675,0.22211
knipolegus_orenocensis_57_LSU93474,4416,4099.2,5279,0.2685
leucippus_chlorocercus_58_LSU7264,1382,1426,2249,-0.05342
leucippus_chlorocercus_62_LSU74801,1454,1411.7,2222,0.05221
leucippus_chlorocercus_63_LSU43036,1432,1425.2,2248,0.00831
leucippus_chlorocercus_64_LSU93457,1426,1371.6,2154,0.06949
mazaria_propinqua_132_LSU7289,2295,2178.2,2870,0.16887
mazaria_propinqua_133_LSU75947,1279,2161.4,2840,-1.30039
mazaria_propinqua_134_LSU79789,2322,2185.7,2883,0.19547
mazaria_propinqua_135_LSU43083,598,643.7,821,-0.25797
mazaria_propinqua_136_LSU93326,2257,2164,2854,0.13476
mazaria_propinqua_137_MPEG_T16312,2209,2065.8,2715,0.2206
mazaria_propinqua_138_UFPE_T1027,2395,2234.8,2948,0.22458
mazaria_propinqua_UFPE_5254,2465,2234.8,2948,0.32273
myrmoborus_lugubris_169_MPEG73846,2335,2255.7,3014,0.10462
myrmoborus_lugubris_242_MPEG_T22612,2626,2271,3040,0.46163
myrmoborus_lugubris_70_INPA_A2193,2516,2347.1,3144,0.2119
myrmoborus_lugubris_71_MPEG_T22926,2397,2192.2,2927,0.27873
myrmoborus_lugubris_72_MPEG_T22751,2110,2019.6,2675,0.13794
myrmoborus_lugubris_73_LSU80385,2486,2364.4,3169,0.15116
myrmoborus_lugubris_74_LSU25513,2537,2360,3162,0.22069
myrmoborus_lugubris_76_LSU93417,2655,2309.2,3089,0.44342
myrmochanes_hemileucus_77_LSU74774,1096,1003,1401,0.2336
myrmochanes_hemileucus_78_LSU43093,746,957.1,1329,-0.56754
myrmochanes_hemileucus_79_LSU3649,1051,1005.4,1403,0.11473
myrmochanes_hemileucus_80_MPEG_T16307,1048,1021.4,1427,0.06548
myrmochanes_hemileucus_81_MPEG_T22712,1046,1009.2,1409,0.09215
myrmochanes_hemileucus_83_INPA_A1340,1025,991.4,1385,0.08527
myrmochanes_hemileucus_84_INPA_A11135,1052,978.6,1364,0.19046
myrmotherula_assimilis_243_MPEG_T22595,2348,2266.1,3035,0.10653
myrmotherula_assimilis_85_LSU23703,2488,2445.6,3286,0.05043
myrmotherula_assimilis_87_LSU93460,2613,2460.6,3309,0.17966
myrmotherula_assimilis_88_MPEG_T14289,2538,2458.5,3304,0.09398
myrmotherula_assimilis_89_MPEG_T23587,2644,2510.4,3377,0.15418
myrmotherula_assimilis_93_INPA_A8418,2618,2506.6,3372,0.12877
myrmotherula_assimilis_94_MPEG_T73294,2502,2474.2,3324,0.03269
myrmotherula_klagesi_100_INPA_A15925,2648,2526.8,3490,0.12586
myrmotherula_klagesi_101_INPA_A048,2859,2630.7,3637,0.22689
myrmotherula_klagesi_95_LSU20250,2623,2559.5,3536,0.06505
myrmotherula_klagesi_96_LSU25562,2604,2607.9,3607,-0.00388
myrmotherula_klagesi_97_LSU81357,2509,2538.4,3509,-0.03031
myrmotherula_klagesi_98_LSU25511,2639,2593.6,3587,0.04571
myrmotherula_klagesi_99_INPA_A8276,2785,2590.2,3583,0.1962
ochthornis_littoralis_102_LSU81242,2572,2504.6,3187,0.09873
ochthornis_littoralis_103_LSU968,2487,2493.4,3172,-0.00942
ochthornis_littoralis_105_LSU35432,2511,2493,3173,0.02652
ochthornis_littoralis_107_LSU93193,2522,2508.2,3192,0.02012
ochthornis_littoralis_110_INPA_A4762,2498,2497.5,3177,0.00074
ochthornis_littoralis_111_INPA_A8301,2578,2509.7,3194,0.09975
ochthornis_littoralis_112_MPEG_T19792,2580,2510.6,3195,0.10146
ochthornis_littoralis_113_MPEG_T963,2554,2503.6,3186,0.07385
ochthornis_littoralis_114_MPEG_T22557,2512,2500.4,3182,0.01708
ochthornis_littoralis_115_MPEG_T1998,1280,1256.4,1566,0.07633
ochthornis_littoralis_116_MPEG_T23235,2471,2510.6,3195,-0.05779
ochthornis_littoralis_170_LSU40723,733,736.5,891,-0.02286
serpophaga_hypoleuca_118_LSU43033,1732,1698.3,2207,0.06623
serpophaga_hypoleuca_119_LSU74789,1467,1493.5,1932,-0.06042
serpophaga_hypoleuca_120_LSU93475,1346,1364.3,1755,-0.04678
serpophaga_hypoleuca_121_LSU79793,1456,1458.4,1884,-0.0056
serpophaga_hypoleuca_122_UFPE_T1166,1771,1699.1,2208,0.14132
serpophaga_hypoleuca_123_INPA_A15959,1613,1639.3,2127,-0.05388
serpophaga_hypoleuca_125_COP632,1566,1499.4,1937,0.15218
serpophaga_hypoleuca_167_INPA_A1342,1655,1633.6,2121,0.04393
serpophaga_hypoleuca_T122,1816,1699.1,2208,0.22974
serpophaga_hypoleuca_duplicateLoc_171_LSU43050,1703,1694.3,2201,0.01718
stigmatura_napensis_126_LSU3175,1352,1324,1789,0.06025
stigmatura_napensis_127_LSU43079,1202,1185.9,1602,0.03871
stigmatura_napensis_128_MPEG_T16303,1602,1568.9,2117,0.06045
stigmatura_napensis_130_INPA_A15960,1432,1457.3,1960,-0.05031
stigmatura_napensis_131_UFPE_T1017,1310,1602.8,2167,-0.51883
stigmatura_napensis_159_LSU89217,1354,1328,1793,0.05595
stigmatura_napensis_T350,1647,1601.3,2165,0.08114
stigmatura_napensis_T764,1633,1601.2,2165,0.05635
stigmatura_napensis_T766,1667,1602.8,2167,0.11387
stigmatura_napensis_UFPE_5249,1656,1602.8,2167,0.09437
stigmatura_napensis_duplicateLoc_172_LSU7240,1536,1566.5,2115,-0.05553
thamnophilus_cryptoleucus_139_LSU25431,6088,5709.2,6761,0.36015
thamnophilus_cryptoleucus_141_LSU74103,6306,5708.2,6759,0.56892
thamnophilus_cryptoleucus_142_LSU7285,6170,5658.5,6698,0.49206
thamnophilus_cryptoleucus_144_LSU93318,6249,5707.8,6757,0.51582
thamnophilus_cryptoleucus_145_MPEG_T22677,5921,5748.8,6801,0.16366
thamnophilus_cryptoleucus_146_MPEG_T23595,6015,5747.4,6799,0.25449
thamnophilus_cryptoleucus_147_MPEG_T22714,4315,4042.8,4730,0.39607
thamnophilus_cryptoleucus_244_MPEG_T22585,6213,5767.1,6825,0.42151
thamnophilus_nigrocinereus_151_INPA_A10843,5284,4836.7,5690,0.5242
thamnophilus_nigrocinereus_154_INPA_A2165,6171,5729.7,6781,0.41978
thamnophilus_nigrocinereus_155_INPA_A3093,6099,5766.3,6824,0.31454
thamnophilus_nigrocinereus_158_INPA_A295,5960,5618,6640,0.33463
thamnophilus_nigrocinereus_165_MPEG_T77261,6094,5788.1,6852,0.28754
thamnophilus_nigrocinereus_173_ICN39301,5921,5486.7,6485,0.43506
thamnophilus_nigrocinereus_174_LSU20234,6061,5789.9,6853,0.25501
thamnophilus_nigrocinereus_175_MZUSP92841,6314,5724,6771,0.56352
thamnophilus_nigrocinereus_176_MZUSP93302,6026,5774.9,6835,0.23683
thamnophilus_nigrocinereus_177_MZUSP_OI001,5284,4935.1,5811,0.39833
