species,habitat,species_sample,sample_size,STRUCTURE,BAPS,DAPC,Av_groups,Fst_vcftools,SNPs,loci,SNPs_per_locus,av_contig_length,total_bp,SNPs_per_bp,Av_UCE_gene_tree_length,D,theta,seg_sites,pairwise_diffs,nuc_div,seg_sites_per_bp,subtending_branch,stem_length,Sister_clade_richness,mtDNA.branch.length,Beak.Length_Culmen_1,Beak.Length_Nares,Beak.Width_1,Beak.Depth_1,Tarsus.Length_1,Wing.Length_1,Kipps.Distance_1,Secondary1_1,Hand.wing.Index,Tail.Length_1,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Mass,Range.Size,haplotype.F_ST,nucleotide.F_ST,Nei.G_ST,Hudson.G_ST,Hudson.H_ST,Hudson.K_ST,Dxy,e_statistic,e_slope,a_statistic,a_slope,Nei.G_ST.pop,nucleotide.F_ST.pop,Dxy.pop,heterozygosity,inbreeding,N_SITES,theta.bp
Myrmoborus_myotherinus,upland,Myrmoborus_myotherinus_MPEG3884,11,4,2,4,3.33,0.40495,10230,2092,4.890057,585.5946463,1225064,0.008350584,0.005921134,-1.453199045,3950.777184,14402,2558.558442,0.00222882,0.01175612,0.011409611,0.005488477,4,0.085206,17.9,10.17096774,4.2375,4.578125,25.696875,61.9969697,9.220833333,53.375,14.80833333,40.0516129,1,1,1,1,1,3,18.8,4778353.33,0.30334282,0.351970123,0.485435699,0.291270022,0.951149425,0.653950371,0.001518704,-0.974736,0.406562,-0.225337,0.419848,0.284827965,0.311924646,0.001650882,0.103532628,0.428328182,9875.545455,0.0032
Myrmochanes_hemileucus,island,Myrmochanes_hemileucus_78_LSU43093,7,1,1,1,1,0.059581,1463,2155,0.678886,696.1364269,1500174,0.00097522,0.001704436,-1.383421126,4913.464391,16304,3367.583333,0.00249751,0.010868073,0.011518587,0.009814151,1,0.001229,18.78,11.07142857,4.114285714,3.4,20.88571429,53.61428571,7.38,47.11428571,13.64,33.74285714,3,2,1,1,1,3,12.5,261134.97,0.043098018,0.035168629,0.276124422,0.043092763,0.745581395,0.440353786,0.000837973,-0.0411051,0.0327041,-0.0355252,0.0471965,0.072537555,0.014381405,0.000931522,0.246746844,0.130281667,1398.166667,0.0033
Myrmotherula_assimilis,island,Myrmotherula_assimilis_85_LSU23703,7,1,1,1,1,0.062943,3433,2159,1.590088,594.3668365,1283238,0.002675264,0.003709008,-0.930131008,2203.995347,7009,1752.428571,0.00147209,0.005461964,0.014992278,0.01128327,1,0.016873,15.56,9.466666667,3.514285714,3.314285714,16.4,51.45714286,6.65,45.66666667,12.7,29.47142857,1,1,1,1,1,3,9.3,412230.35,0.096945289,0.098825329,0.3249075,0.093922404,0.799628942,0.495029798,0.00094148,-0.0889331,0.0565164,-0.0154395,0.074758,0.101455971,0.045290635,0.000969867,0.228476911,0.106605714,3286.714286,0.0017
Myrmotherula_klagesi,island,Myrmotherula_klagesi_96_LSU25562,7,1,1,1,1,0.032622,3703,2108,1.756641,684.9065465,1443783,0.00256479,0.00532093,-0.604678623,2681.019308,8526,2323.934066,0.00179474,0.00590532,0.005205648,-0.000115282,1,0.001932,15.25,8.95,3.5,3.175,16.225,46.8625,5.1,42.85,10.725,28.6125,1,1,1,1,1,3,7.8,56287.31,0.098314104,0.0991225,0.336358264,0.095472486,0.83087886,0.513453321,0.001047016,-0.0117729,0.0343574,0.0797675,0.0342213,0.086197987,0.033045386,0.001064872,0.251918952,0.08936,3564.142857,0.0019
Ochthornis_littoralis,island,Ochthornis_littoralis_115_MPEG_T1998,12,1,1,1,1,0.026768,3335,2170,1.536866,728.4101382,1580650,0.002109892,0.003214448,-0.898951703,1775.956915,6474,1388.74026,0.00105881,0.004095783,0.023221472,0.020007024,5,0.004117,14.46,8.225,4.62,3.24,17.24,70.2,12.3,57.45,17.625,54.6,5,3,1,1,1,3,13.4,4562555.95,0.02793683,0.028476911,0.178019164,0.028251646,0.478530534,0.273159217,0.00017938,-0.0244134,0.0181587,-0.00958805,0.0232072,0.029500193,0.007730844,0.00018451,0.201835269,0.035375833,2859.166667,0.0011
Phaethornis_bourcieri,upland,Phaethornis_bourcieri_AMNH11853,11,3,3,4,3.33,0.5448,9184,2087,4.400575,577.6200287,1205493,0.00761846,0.00694889,-1.011961799,3542.819151,12569,2688.636842,0.00235658,0.01042644,NA,NA,4,0.175535,34.63076923,29.28333333,2.561538462,2.638461538,4.316666667,56.76923077,38.025,18.64166667,67.21666667,61.26923077,1,1,1,2,2,1,4.65,4579261.05,0.369960793,0.436382517,0.516136682,0.355668514,0.918347743,0.676052222,0.001703627,-0.923674,0.406963,0.110487,0.501174,0.352023075,0.409546536,0.001907408,0.098235821,0.551581,8843.6,0.0029
Phaethornis_hispidus,floodplain,Phaethornis_hispidus_MPEG13967,11,1,1,1,1,0.043328,7099,2080,3.412981,577.5447115,1201293,0.005909466,0.004229065,-1.558056374,2785.459765,10154,1732.991342,0.0015605,0.008452559,NA,NA,7,0.002263,34.425,27.7875,2.6,2.511111111,4.355555556,54.11111111,32.26666667,21.85555556,59.66666667,56.4375,1,1,1,2,2,1,5,4008483.06,0.080516097,0.08194207,0.337897572,0.077611657,0.87867116,0.510115457,0.000946269,-0.0641461,0.0325776,-0.0363538,0.050506,0.061084744,0.031806622,0.000953472,0.162439951,0.07061,6879.909091,0.0023
Pheugopedius_coraya,upland,Pheugopedius_coraya_AMNH4240,11,2,1,2,1.67,0.14746,14067,2067,6.805515,582.9269473,1204910,0.011674731,0.007197537,-1.874352138,6007.913562,21901,3277.359307,0.002864804,0.018408014,NA,NA,2,0.266024,18.975,11.89565217,4.0125,4.636111111,23.22631579,61.33684211,6.471428571,54.99642857,10.59285714,56.54722222,1,1,1,1,1,3,18.2,10137965.39,0.278539377,0.315303493,0.475040389,0.265763285,0.974196689,0.648660685,0.001945534,-0.0815715,0.0404534,0.564327,0.0238579,0.09969203,0.108066223,0.002078844,0.096210295,0.357655455,13469.45455,0.0050
Piaya_cayana,floodplain,Piaya_cayana_LSUMNS72132,11,1,1,1,1,0.032799,11862,2069,5.733204,587.9797003,1216530,0.009750684,0.006165309,-1.763483197,4588.83728,16280,2660.894737,0.002338224,0.013186687,NA,NA,1,0.012583,31.79565217,18.40666667,8.5,10.49166667,34.61153846,145.9071429,16.15652174,129.8173913,11.09565217,279.0928571,1,1,1,1,1,3,102,13448425.2,0.049580143,0.05160284,0.339776448,0.048414893,0.931818182,0.532361729,0.001409218,-0.000211405,0.00500728,0.008624,0.00704144,0.139121799,0.031387211,0.001449502,0.13159579,0.106789,11258.9,0.0038
Piaya_melanogaster,upland,Piaya_melanogaster_INPA1392,11,2,2,2,2,0.087115,6550,1892,3.461945,570.0808668,1078593,0.006072726,0.004555178,-2.246723504,6437.775237,23468,2930.593074,0.00315072,0.021757975,NA,NA,1,0.006746,34.47777778,20.775,8.444444444,10.7,34.32222222,134.7777778,11.95,123.3125,8.825,212.4444444,1,1,1,1,1,3,102.8,4840731.88,0.06968032,0.047265807,0.361468292,0.067442754,0.966083731,0.544342869,0.001548925,-0.195543,0.0871719,-0.241129,0.141653,0.098613473,0.0530963,0.001186147,0.114958736,0.313193,6325.4,0.0060
Pipra_erythrocephala,upland,Pipra_chloromeros_KU18533,11,2,1,2,1.67,0.21601,10659,2117,5.034955,590.3122343,1249691,0.008529308,0.004896093,-1.883957978,3880.002256,14144,2107.428571,0.001799721,0.006828088,0.005771845,0.001216667,1,0.077605,11.19484536,6.871428571,4.05,4.036363636,13.93396226,60.38317757,11.025,48.25,18.625,28.60106383,1,1,1,2,4,3,13.96666667,7320542.32,0.126957249,0.141486924,0.377173445,0.122516128,0.915918753,0.553575452,0.00107171,-0.134994,0.0597511,0.0203886,0.0759852,0.136844718,0.126138748,0.001153754,0.108727617,0.192468182,10115.45455,0.0031
Pipra_filicauda,floodplain,Pipra_aureola_MPEG1199,11,3,2,4,3,0.2716,6416,2146,2.989748,582.4692451,1249979,0.005132886,0.00380021,-1.968035203,4154.657693,15854,2114.784615,0.00184339,0.012683413,0.007756716,0.003956506,11,0.062354,13.5125,7.278512397,4.060483871,3.979032258,15.97559055,63.80232558,12.63412698,51.1,19.8515873,30.65354331,1,1,1,2,4,3,15.8,8064941.39,0.180820382,0.195862654,0.389059758,0.173834871,0.859943978,0.547718629,0.000871282,-0.315891,0.137205,0.118814,0.124665,0.207494359,0.153922553,0.000921349,0.130155926,0.282222,6140.8,0.0033
Saltator_coerulescens,floodplain,Saltator_coerulescens_FMNH391613,11,2,2,2,2,0.39355,13197,2135,6.181265,576.0515222,1229870,0.010730402,0.007563697,-1.485893461,4964.120534,18096,3175.510823,0.00274855,0.016033402,NA,NA,1,0.034458,22.34615385,13.9375,8.833333333,10.96153846,26.75294118,100.6764706,14.60833333,86.18333333,14.50833333,95.5,4,2,1,2,3,3,54.9,8191352.17,0.182443724,0.222905518,0.415251751,0.174479155,0.9470726,0.600127189,0.001650723,-0.243128,0.104404,-0.0301394,0.13625,0.239181296,0.272737638,0.00218752,0.120778998,0.261360909,12668.72727,0.0040
Saltator_grossus,upland,Saltator_grossus_AMNH12692,11,1,1,1,1,0.0025141,10453,2114,4.944655,592.3732261,1252277,0.008347195,0.00416699,-1.764239238,3407.895081,12423,1949.904762,0.001629607,0.010471325,NA,NA,1,0.017834,21.36923077,14.1375,10.3,13.7125,23.71538462,96.07692308,17.91111111,78.64444444,18.56666667,87.42307692,1,1,1,3,3,3,44.2,6243128.13,0.087354448,0.096528213,0.363155791,0.084319573,0.942207485,0.549965624,0.001119264,-0.0984613,0.0471331,-0.0253539,0.0562286,0.098937773,0.02299522,0.001133244,0.134294795,0.099358182,10035.27273,0.0027
Schiffornis_major,floodplain,Schiffornis_major_FMNH457274,11,1,2,1,1.33,-0.037414,9188,2016,4.55754,579.8169643,1168911,0.007860308,0.005058965,-2.086803128,6331.355221,22462,3183.736842,0.00294193,0.019216176,0.013643974,0.008585009,6,0.003994,15.9,9.366666667,4.833333333,5.433333333,18.8,78.33333333,9.3,69.03333333,11.7,55.33333333,1,1,1,3,4,3,31,3141459.06,0.026868645,0.018986304,0.339950113,0.02730287,0.967213115,0.539334737,0.001766767,0.0183267,-0.00328503,0.097847,-0.0473661,0.11741574,0.012861021,0.001379081,0.134102778,0.2361,8819.333333,0.0054
Schiffornis_turdina,upland,Schiffornis_turdina_KU18445,11,1,1,2,1.33,0.29987,11697,2120,5.517453,594.6891509,1260741,0.009277877,0.00535587,-1.912421199,4676.906,17049,2508.047619,0.002188573,0.014736572,0.006515477,0.000916789,1,0.076374,17.76818182,10.18,5.10952381,5.872413793,21.78823529,90.05,15.16923077,73.86923077,17.04615385,69.84411765,1,1,1,3,3,3,31.7,5587673.67,0.222227961,0.249619435,0.431139983,0.21339191,0.922894986,0.598124342,0.00119782,-0.198604,0.0886697,-0.0861174,0.200984,0.235068797,0.231294429,0.001525975,0.097161257,0.292861818,11019.90909,0.0037
Serpophaga_hypoleuca,island,Serpophaga_hypoleuca_167_INPA_A1342,10,1,1,1,1,0.061599,2259,2154,1.048747,737.6467038,1588891,0.001421746,0.003687852,-1.229396472,2351.254243,7802,1693.775,0.00129803,0.004910343,0.005414558,0.001726706,2,0.00761,11.32,6.3,3.1,2.6,17.08,47.1,7.6,39.5,16.14,45.1,3,2,1,1,1,3,6.1,557853.94,0.052789942,0.053827505,0.266809779,0.052350058,0.703842549,0.414605774,0.000498566,-0.00013913,0.0089544,0.0307945,0.0144316,0.068573492,0.032616051,0.000481884,0.217074176,0.04839,2058,0.0015
Stigmatura_napensis,island,Stigmatura_napensis_130_INPA_A15960,10,1,1,1,1,0.024758,2198,2158,1.018536,737.1079703,1590679,0.0013818,0.004255774,-1.487148945,3665.509531,12163,2425.741667,0.00187348,0.00764642,0.006613472,0.002357698,2,0.012083,11.39333333,6.842857143,3.557142857,3.221428571,19.15882353,52.12941176,5.754545455,45.98181818,11.14545455,59.67647059,3,3,1,1,1,3,9.8,322846.59,0.041611806,0.040982773,0.248283015,0.042592654,0.660622966,0.39673645,0.000524352,-0.0010889,0.00966584,-0.0211105,0.0123685,0.097252423,0.023884852,0.000501659,0.25420248,0.018253333,1896,0.0023
Synallaxis_gujanensis,floodplain,Synallaxis_gujanensis_AMNH11985,11,2,2,2,2,0.50285,8192,2106,3.889839,589.7132004,1241936,0.006596153,0.004583245,-1.229469393,3062.798727,11165,2149.619048,0.00188101,0.008989996,0.005017373,0.000434128,1,0.038737,15.56,9.746666667,3.3375,4.06875,21.7875,60.58125,5.475,53.89333333,9.175,71.96875,1,2,1,1,1,3,18.1,4462466.66,0.256064501,0.299522643,0.450954748,0.24707439,0.91706387,0.617385937,0.001225326,-0.812223,0.330084,-0.98735,0.642135,0.217907663,0.272255367,0.001780064,0.121009069,0.376007273,7918.727273,0.0025
Synallaxis_rutilans,upland,Synallaxis_rutilans_LSUMNS31362,11,3,1,2,1.67,0.21604,6304,2126,2.965193,574.5832549,1221564,0.005160597,0.00340093,-1.810923163,2558.870266,9328,1435.077922,0.00137207,0.007636112,0.005508117,0.002107187,1,0.03066,14.86,9.057142857,3.313333333,4.28,19.51333333,59.57333333,7.235714286,52.1,12.21428571,70,1,1,1,1,1,3,16.7,5856806.86,0.189695445,0.198385781,0.399025976,0.183581464,0.870265152,0.552111091,0.000735217,-0.292011,0.125256,0.0146647,0.159383,0.09812158,0.093111287,0.000833401,0.113334933,0.275446364,6028.545455,0.0021
Tachyphonus_cristatus,floodplain,Tachyphonus_cristatus_INPA1636,11,2,1,1,1.33,0.055211,9958,2132,4.670732,577.0070356,1230179,0.008094757,0.005457692,-1.486051279,3972.902421,13183,2630.175,0.002281748,0.011332497,NA,NA,2,0.125937,15.92941176,11.15,5.62,6.853846154,18.18823529,76.24705882,14.25,60,19.1875,70.41764706,1,1,1,3,3,3,18.8,6338485.76,0.059297957,0.072131214,0.343000973,0.057444964,0.924377642,0.546528387,0.001480073,-0.0567388,0.0333474,-0.0317664,0.0419392,0.087048826,0.040219252,0.001513167,0.175206493,0.060885,9585.25,0.0032
Tachyphonus_luctuosus,upland,Tachyphonus_luctuosus_LSUMNS27928,11,1,1,1,1,0.022319,10680,2124,5.028249,586.3629944,1245435,0.008575317,0.005704589,-1.580042069,3735.160543,13616,2304.021645,0.00200111,0.01149237,NA,NA,1,0.025522,13.96,9.870588235,4.883333333,5.463157895,17.2952381,62.09090909,10.8,50.55,17.64166667,54.04545455,1,1,1,1,1,3,13,7144190.04,0.059733603,0.063986572,0.341574872,0.058392617,0.919491525,0.526380346,0.001053923,-0.0232967,0.0160079,0.00785472,0.0191371,0.080018475,0.019001172,0.001077968,0.152124891,0.084303636,9965.363636,0.0030
Thamnophilus_cryptoleucus,island,Thamnophilus_cryptoleucus_139_LSU25431,18,4,2,3,3,0.17581,7015,2080,3.372596,610.9585025,1354495,0.005179052,0.005716428,-1.567548063,3653.435875,15150,2154.447619,0.001707354,0.01118498,0.009680921,0.003964493,9,0.023976,24.2125,13.6,5.64,6.9,25.18,77.15333333,7.5625,70.32666667,9.8875,58.94666667,1,1,1,1,1,3,28.75,1671191.14,0.287821338,0.296276032,0.466730306,0.280643353,0.924760602,0.604391922,0.000898385,-0.142653,0.0749799,0.447664,0.0974273,0.137771304,0.166147085,0.000973679,0.093355723,0.39339,6521.941176,0.0027
Trogon_collaris,floodplain,Trogon_collaris_FMNH456552,11,2,2,2,2,0.22673,10788,2144,5.031716,581.8871269,1247566,0.008647238,0.004062234,-1.667709229,3397.93817,12055,2047.805263,0.001742675,0.012274301,NA,NA,1,0.0123,20.27894737,11.2,8.25,9.08,13.37894737,121.2105263,46.34285714,74.15714286,38.42142857,132.7222222,1,1,1,3,1,3,65.4,6799060.77,0.131911769,0.150631898,0.385561499,0.126667413,0.934235075,0.570230619,0.001135114,-0.246189,0.107986,-0.1474,0.153028,0.140546668,0.130076248,0.001293775,0.108710382,0.311939,10398.4,0.0027
Trogon_rufus,upland,Trogon_rufus_FMNH389730,11,1,2,1,1.33,0.067752,13083,2137,6.122134,583.1778194,1246251,0.010497885,0.004317903,-2.051440934,4461.563681,16264,2242.151515,0.001953093,0.016566486,NA,NA,4,0.05251,19.87692308,11.68235294,8.866666667,9.844444444,13.14117647,113.0909091,42.825,70.31666667,37.875,130.8636364,1,1,1,3,3,3,53.8,6666233.02,0.099229007,0.112552607,0.366664415,0.095082452,0.937177684,0.552260902,0.001129392,-0.0825578,0.0406369,0.0589105,0.0378313,0.066501962,0.046010274,0.00116529,0.091161418,0.284634545,12434.63636,0.0036
Xiphorhynchus_elegans,upland,Xiphorhynchus_elegans_INPA8144,11,3,2,3,2.33,0.427,7514,2133,3.522738,577.1111111,1230978,0.00610409,0.005480363,-1.302289172,3232.198839,11467,2229.315789,0.002039645,0.009315357,0.004123984,-0.001356379,1,0.094309,31.24,22.89642857,5.609677419,6.174193548,21.78387097,96.4516129,20.08965517,76.53793103,20.78275862,82.70833333,1,1,1,1,1,3,32.85,3945552.89,0.26646283,0.293532959,0.449585908,0.256883749,0.889671362,0.604259581,0.001220721,-1.60038,0.666652,-0.878057,0.671149,0.211950748,0.239319092,0.001346624,0.117904865,0.41498,7194.2,0.0026
Xiphorhynchus_obsoletus,floodplain,Xiphorhynchus_obsoletus_FMNH391089,11,1,1,1,1,0.02948,5307,2112,2.512784,567.3536932,1198251,0.004428955,0.003282854,-1.517343244,2025.589413,7384,1280.168831,0.001172519,0.006162315,0.001125256,-0.002157598,4,0.001309,27,19.1,4.833333333,6.375,21.38888889,95.26666667,17.6625,76.9375,18.7,81.8,1,1,1,1,1,3,32.6,6665026.21,0.055261611,0.061378532,0.309670352,0.054580329,0.827406354,0.476030795,0.00071487,-0.0735141,0.0350167,-0.0440883,0.0475647,0.052189051,0.019092896,0.00072054,0.167007648,0.052579091,5140.727273,0.0017
